gen	nevals	Avg   	Std    	Min	Max
329	64    	104.54	11.2831	99 	136
330	61    	104.37	11.4984	99 	141
331	63    	105.43	12.8563	99 	142
332	51    	103.72	11.6894	99 	146
333	56    	103.55	10.5739	99 	138
334	70    	103.96	10.8894	99 	139
335	71    	105.84	12.599 	99 	144
336	63    	104.83	12.1401	99 	150
337	52    	106.32	12.1243	99 	135
338	57    	104.7 	11.6452	99 	138
339	61    	104.9 	11.3468	99 	140
340	55    	104.55	11.3282	99 	140
341	47    	103.91	10.1045	99 	136
342	52    	106.52	12.7918	99 	141
343	61    	105.78	12.602 	99 	140
344	69    	106.83	13.3784	99 	143
345	55    	105.44	12.1937	99 	142
346	57    	104.67	11.4987	99 	139
347	63    	105.82	11.8105	99 	132
348	59    	104.31	10.7123	99 	140
349	55    	107.1 	13.2269	99 	139
350	66    	106.34	12.3395	99 	137
351	63    	106.12	12.6375	99 	138
352	67    	103.2 	9.89444	99 	140
353	60    	105.36	12.4431	99 	141
354	67    	103.08	10.3254	99 	137
355	68    	104.3 	11.411 	99 	140
356	65    	106.33	12.4483	99 	146
357	66    	105.21	11.6416	99 	137
358	59    	104.09	10.1972	99 	137
359	58    	105.12	12.255 	99 	144
360	47    	102.63	9.70222	99 	137
361	58    	104.52	11.5987	99 	145
362	55    	103.68	11.1936	98 	148
363	64    	103.89	10.1271	98 	135
364	52    	106.12	13.2411	98 	145
365	58    	103.74	10.8716	98 	134
366	69    	103.57	11.2083	98 	138
367	61    	103.95	12.0734	98 	136
368	61    	106.06	13.7767	98 	147
369	61    	102.99	11.2459	98 	136
370	57    	102.77	10.8488	98 	139
371	63    	103.57	11.595 	98 	147
372	53    	104.33	12.5778	98 	137
373	56    	102.29	10.8372	98 	142
374	64    	102.89	11.2924	98 	143
375	61    	105.83	13.3829	98 	139
376	66    	105.12	12.4694	98 	143
377	70    	103.72	11.3878	98 	135
378	54    	104.23	13.0552	98 	152
379	69    	104.9 	12.9356	98 	151
380	53    	104.04	11.0896	98 	136
381	58    	102.84	11.4085	98 	138
382	70    	102.4 	10.5811	98 	135
383	56    	104.36	11.8402	98 	133
384	53    	103.12	11.6244	98 	143
385	57    	103.24	11.6826	98 	144
386	54    	103.17	11.9298	98 	145
387	60    	104.2 	12.1211	98 	139
388	65    	104.37	12.3042	98 	139
